employer_names,lon,lat
12TH WONDER LLC,-121.9357918,37.7021521
"14 W ADMINISTRATIVE SERVICES",-80.0728201,26.4614625
"24ON PHYSICIANS, PC",-85.1646726,34.257038
"3D SYSTEMS, INC.",-81.0250784,34.9248667
"3E NDT, LLC",-80.0905465,26.5317866
"3PL SYSTEMS, INC.",-118.1678456,33.8044614
"3S BUSINESS CORPORATION, INC",-72.5215009,41.7759301
3S GLOBAL BUSINESS SOLUTIONS,-118.6058609,34.208254
"4-SERV SOLUTIONS, INC.",-70.3711617,43.6770252
522 W 38TH ST NY LLC,-73.833079,40.7674987
72ANDSUNNY PARTNERS LLC,-118.4265872,33.9719826
"88 TRANSPORTATION, INC.",-118.1331593,33.9401088
99 CENTS ONLY STORES INC.,-95.8243956,29.7857853
"9M SOLUTIONS, INC.",-95.4588299,29.7057858
9TO9 SOFTWARE SOLUTIONS LLC,-80.8603868,32.2371465
9TO9 SOFTWARE SOLUTIONS LLC,-90.5787476,41.5094771
9TO9 SOFTWARE SOLUTIONS LLC,-87.1111676,37.7719074
"A CARING DOCTOR (MINNESOTA), P.A.",-86.3997167,39.7628227
"A CARING DOCTOR (MINNESOTA), P.A.",-86.3994387,39.7042123
"A CARING DOCTOR (MINNESOTA), P.A.",-86.0085955,40.0455917
"A CARING DOCTOR (MINNESOTA), P.A.",-84.4172666,39.3321262
"A CARING DOCTOR (MINNESOTA), P.A.",-78.792272,42.9790067
"A CARING DOCTOR (MINNESOTA), P.A.",-112.0010501,40.6916132
"A CARING DOCTOR (NEW JERSEY), P.C.",-74.3647247,40.8200623
"A CARING DOCTOR (NEW JERSEY), P.C.",-75.0246312,39.926813
"A CARING DOCTOR (NORTH CAROLINA), P.C.",-77.7905339,35.9382103
"A CARING DOCTOR (TEXAS), P.C.",-96.6705503,33.1031744
"A CARING DOCTOR (TEXAS), P.C.",-95.1182645,29.5377315
"A CARING DOCTOR (TEXAS), P.C.",-98.2300124,26.2034071
"A CARING DOCTOR (TEXAS), P.C.",-97.1330683,33.2148412
"A CARING DOCTOR, P.C.",-122.1634582,47.7542651
A GOOD TRAVEL AGENCY INC,-117.9053395,33.9761238
A-PLUS CONSTRUCTION SERVICES CORPORATION,-70.7927832,42.1615157
A.J. BOGGS & COMPANY,-84.4274744,42.722257
"A.K. DE RAMA INDUSTRIAL CONTROL SYSTEMS, INC.",-74.3573722,40.6723242
A.O. SMITH CORPORATION,-87.0641699,36.2742207
"A.P.R., INC.",-118.8375937,34.1705609
