company,freq
INFOSYS,48626
TATA CONSULTANCY SERVICES,23011
WIPRO,16166
CAPGEMINI AMERICA,15957
ACCENTURE,15870
IBM INDIA PRIVATE,15529
DELOITTE CONSULTING,11819
TECH MAHINDRA (AMERICAS),9186
HCL AMERICA,8832
ERNST & YOUNG U.S.,7339
MICROSOFT CORPORATION,7089
COGNIZANT TECHNOLOGY SOLUTIONS U.S. ,5917
IGATE TECHNOLOGIES,5054
GOOGLE,4681
LARSEN & TOUBRO INFOTECH,4453
AMAZON ,3424
UST GLOBAL,3171
IBM ,2865
INTEL ,2636
DELOITTE & TOUCHE,2427
HEXAWARE TECHNOLOGIES,2298
SYNTEL CONSULTING,2230
L&T TECHNOLOGY SERVICES,2218
JPMORGAN CHASE & CO.,2144
APPLE,2083
"NTT DATA",2040
PRICEWATERHOUSECOOPERS,1834
KPMG LLP,1769
HTC GLOBAL SERVICES,1679
MINDTREE LIMITED,1650
"MASTECH A MASTECH HOLDINGS",1583
UST GLOBAL,1537
"FACEBOOK",1498
"TECH MAHINDRA (AMERICAS)",1439
"ORACLE AMERICA",1419
MPHASIS CORPORATION,1369
"QUALCOMM TECHNOLOGIES",1341
"COMPUNNEL SOFTWARE GROUP",1322
BANK OF AMERICA N.A.,1274
BIRLASOFT  ,1250
VIRTUSA CORPORATION,1215
EMC CORPORATION,1193
PRICEWATERHOUSECOOPERS ADVISORY SERVICES  ,1179
SALESFORCE.COM,1165
CAPGEMINI FINANCIAL SERVICES USA  ,1134
PERSISTENT SYSTEMS,1115
CAPGEMINI U.S.,1093
"WAL-MART ASSOCIATES",1093
"RANDSTAD TECHNOLOGIES, LP",1061
"GOLDMAN, SACHS & CO.",1058
EBAY,1036
HCL GLOBAL SYSTEMS,1021
DELOITTE TAX LLP,1020
"PAYPAL",1003
"FUJITSU AMERICA,  .",996
"SYNECHRON",973
"CAPITAL ONE SERVICES",937
"CISCO SYSTEMS",932
"CYIENT",915
"V-SOFT CONSULTING GROUP",905
SYNTEL,888
VEDICSOFT SOLUTIONS,876
CUMMINS,863
LINKEDIN,843
DELL MARKETING,831
IPOLARITY,825
POPULUS GROUP,781
"VMWARE",778
"3I INFOTECH",770
"PYRAMID TECHNOLOGY SOLUTIONS,  ",763
"YASH TECHNOLOGIES,  .",751
"THE MATHWORKS",745
ERNST &AMP; YOUNG U.S. LLP,737
"TESLA MOTORS",733
"GSS INFOTECH CT",725
"KPIT INFOSYSTEMS",723
"AMERICAN EXPRESS TRAVEL RELATED SERVICES",719
CGI TECHNOLOGIES AND SOLUTIONS.,717
HEADSTRONG SERVICES,717
"ERP ANALYSTS",714
"RELIABLE SOFTWARE RESOURCES",696
SUDHI INFOMATICS  ,692
YAHOO!,688
SAPIENT CORPORATION,679
NICHE SOFTWARE SOLUTIONS  ,669
TECH MAHINDRA (AMERICAS),664
LOGIC PLANET CS,663
SYSTEM SOFT TECHNOLOGIES,659
"BLOOMBERG",649
TRINGAPPS,644
AVCO CONSULTING  ,642
"CIBER",636
"PHOTON INFOTECH",631
LARSEN AND TOUBRO INFOTECH LIMITED,627
ASTIR IT SOLUTIONS,620
COLLABORATE SOLUTIONS,614
"DIASPARK",610
"ENGINEERING TECHNOLOGY ASSOCIATES",610
"UBER TECHNOLOGIES",604
