UNITID,INSTNM,ADDR,CITY,STABBR,WEBADDR,COUNTYNM,LONGTITUDE,LATITUDE
104151,Arizona State University,University Drive and Mill Avenue,Tempe,AZ,www.asu.edu/,"Maricopa County, AZ",-111.940011,33.421921
110404,California Institute of Technology,1200 E California Blvd,Pasadena,CA,www.caltech.edu,"Los Angeles County, CA",-118.12574,34.139275
110422,California Polytechnic State University-San Luis Obispo,One Grand Ave,San Luis Obispo,CA,www.calpoly.edu,"San Luis Obispo County, CA",-120.65856,35.29889
110635,University of California-Berkeley,200 California Hall,Berkeley,CA,www.berkeley.edu,"Alameda County, CA",-122.2604,37.87152
110644,University of California-Davis,One Shields Avenue,Davis,CA,www.ucdavis.edu,"Yolo County, CA",-121.751958,38.539895
110653,University of California-Irvine,501 Aldrich Hall,Irvine,CA,www.uci.edu/,"Orange County, CA",-117.768639,33.667002
110662,University of California-Los Angeles,405 Hilgard Ave,Los Angeles,CA,www.ucla.edu/,"Los Angeles County, CA",-118.443901,34.068892
110671,University of California-Riverside,900 University Ave,Riverside,CA,WWW.UCR.EDU,"Riverside County, CA",-117.331098,33.97588
110680,University of California-San Diego,9500 Gilman Dr,La Jolla,CA,www.ucsd.edu,"San Diego County, CA",-117.237793,32.876598
110699,University of California-San Francisco,500 Parnassus Ave,San Francisco,CA,www.ucsf.edu,"San Francisco County, CA",-122.458049,37.762736
110705,University of California-Santa Barbara,5221 Cheadle Hall,Santa Barbara,CA,www.ucsb.edu,"Santa Barbara County, CA",-119.848071,34.415461
110714,University of California-Santa Cruz,1156 High St,Santa Cruz,CA,www.ucsc.edu/,"Santa Cruz County, CA",-122.067993,36.997258
122597,San Francisco State University,1600 Holloway Ave,San Francisco,CA,www.sfsu.edu,"San Francisco County, CA",-122.477905,37.721345
122755,San Jose State University,1 Washington Sq,San Jose,CA,www.sjsu.edu,"Santa Clara County, CA",-121.881214,37.335201
123961,University of Southern California,University Park,Los Angeles,CA,www.usc.edu/,"Los Angeles County, CA",-118.283858,34.021058
126562,University of Colorado Denver,"1380 Lawrence Street, Lawrence Street Center, Suite 1400",Denver,CO,www.ucdenver.edu/,"Denver County, CO",-104.999313,39.746397
126614,University of Colorado Boulder,Regent Drive at Broadway,Boulder,CO,www.colorado.edu,"Boulder County, CO",-105.267061,40.004415
129020,University of Connecticut,352 Mansfield Road,Storrs,CT,www.uconn.edu,"Tolland County, CT",-72.249536,41.808215
130794,Yale University,Woodbridge Hall,New Haven,CT,www.yale.edu,"New Haven County, CT",-72.92886,41.310189
130943,University of Delaware,104 Hullihen Hall,Newark,DE,www.udel.edu/,"New Castle County, DE",-75.753579,39.679782
131159,American University,4400 Massachusetts Ave NW,Washington,DC,WWW.AMERICAN.EDU,"District of Columbia, DC",-77.090106,38.937802
131469,George Washington University,"2121 I Street, NW",Washington,DC,www.gwu.edu,"District of Columbia, DC",-77.047871,38.89865
131496,Georgetown University,37th and O St NW,Washington,DC,www.georgetown.edu,"District of Columbia, DC",-77.073463,38.908809
134097,Florida State University,222 S. Copeland Street,Tallahassee,FL,www.fsu.edu,"Leon County, FL",-84.290884,30.43974
134130,University of Florida,355 Tigert Hall,Gainesville,FL,www.ufl.edu/,"Alachua County, FL",-82.361195,29.638248
135726,University of Miami,University of Miami,Coral Gables,FL,www.miami.edu/,"Miami-Dade County, FL",-80.27645,25.720406
137351,University of South Florida-Main Campus,4202 East Fowler Ave,Tampa,FL,www.usf.edu,"Hillsborough County, FL",-82.415876,28.056647
139658,Emory University,"408 Administration Building, 201 Dowman Drive",Atlanta,GA,www.emory.edu,"DeKalb County, GA",-84.325782,33.798836
139755,Georgia Institute of Technology-Main Campus,225 North Ave,Atlanta,GA,www.gatech.edu,"Fulton County, GA",-84.396019,33.773732
141574,University of Hawaii at Manoa,"2500 Campus Road, Hawaii Hall, Room 001",Honolulu,HI,manoa.hawaii.edu,"Honolulu County, HI",-157.816607,21.292648
144050,University of Chicago,5801 S Ellis Ave,Chicago,IL,WWW.UCHICAGO.EDU,"Cook County, IL",-87.601196,41.78917
